Pecos,peco,National Historical Park,NM,35.54192238,-105.6814684
Pennsylvania Avenue,paav,,DC,38.89426856,-77.02506554
Perry's Victory & International Peace,pevi,Memorial,OH,41.65449782,-82.8115794
Petersburg,pete,National Battlefield,VA,37.19109957,-77.47594865
Petrified Forest,pefo,National Park,AZ,34.98387664,-109.7877678
Petroglyph,petr,National Monument,NM,35.13915998,-106.7491456
Pictured Rocks,piro,National Lakeshore,MI,46.56435642,-86.31628733
Pinnacles,pinn,National Park,CA,36.49029208,-121.1813607
Pipe Spring,pisp,National Monument,AZ,36.86282666,-112.7398567
Pipestone,pipe,National Monument,MN,44.01351958,-96.32475523
Piscataway,pisc,Park,MD,38.6929,-77.067
Point Reyes,pore,National Seashore,CA,38.05511241,-122.8797804
Pony Express,poex,National Historic Trail,"CA,CO,KS,MO,NE,NV,UT,WY",42.2365761128,-109.266148417
Port Chicago Naval Magazine,poch,National Memorial,CA,38.05685472,-122.0301603
Potomac Heritage,pohe,National Scenic Trail,"DC,MD,PA,VA",39.15060133,-77.52301085
Poverty Point,popo,National Monument,LA,32.6424361,-91.40829834
President William Jefferson Clinton Birthplace Home,wicl,National Historic Site,AR,33.66758356,-93.59641868
Presidio of San Francisco,prsf,,CA,37.797,-122.4671
Prince William Forest,prwi,Park,VA,38.58589108,-77.38910997
Pullman,pull,National Historical Park,IL,41.69429163,-87.60873824
Puʻuhonua o Hōnaunau,puho,National Historical Park,HI,19.41268627,-155.9008789
Puʻukoholā Heiau,puhe,National Historic Site,HI,20.02772186,-155.8211629
Rainbow Bridge,rabr,National Monument,UT,36.9943264317,-111.491484759
Reconstruction Era,reer,National Historical Park,SC,32.3868598938,-80.6511077881
Redwood,redw,National and State Parks,CA,41.37237268,-124.0318129
Richmond,rich,National Battlefield Park,VA,37.48774472,-77.29107785
Rio Grande,rigr,Wild & Scenic River,TX,29.881,-102.3188
River Raisin,rira,National Battlefield Park,MI,41.91291085,-83.37620464
Rock Creek,rocr,Park,DC,38.95125063,-77.05002838
Rocky Mountain,romo,National Park,CO,40.3556924,-105.6972879
Roger Williams,rowi,National Memorial,RI,41.8298955,-71.41056665
Roosevelt Campobello,roca,International Park,ME,44.8736,-66.9621
Rosie the Riveter WWII Home Front,rori,National Historical Park,CA,37.90999027,-122.360156
Russell Cave,ruca,National Monument,AL,34.97402063,-85.81560314
Sagamore Hill,sahi,National Historic Site,NY,40.88579128,-73.49686438
Saguaro,sagu,National Park,AZ,32.20909636,-110.7574974
Saint Croix Island,sacr,International Historic Site,ME,45.12858838,-67.13363651
Saint Croix,sacn,National Scenic Riverway,"WI,MN",45.70019235,-92.36126685
Saint Paul's Church,sapa,National Historic Site,NY,40.89283511,-73.82577276
Saint-Gaudens,saga,National Historical Park,NH,43.4997238,-72.37333969
Salem Maritime,sama,National Historic Site,MA,42.52024529,-70.88640867
Salinas Pueblo Missions,sapu,National Monument,NM,34.35423203,-106.2050309
Salt River Bay,sari,National Historical Park and Ecological Preserve,VI,17.77908602,-64.75519348
San Antonio Missions,saan,National Historical Park,TX,29.31262089,-98.4289522
San Francisco Maritime,safr,National Historical Park,CA,37.81005871,-122.4244415
San Juan Island,sajh,National Historical Park,WA,48.51241933,-123.0610277
San Juan,saju,National Historic Site,PR,18.46873857,-66.11848623
Sand Creek Massacre,sand,National Historic Site,CO,38.56414189,-102.5169542
Santa Fe,safe,National Historic Trail,"CO,KS,MO,NM,OK",37.7276522226,-99.921969227
Santa Monica Mountains,samo,National Recreation Area,CA,34.09777606,-118.7708619
